artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,time_signature
Said the Sky,All I Got,0.325,0.578,2,-6.786,1,0.0455,0.158,0.00479,0.575,0.103,144.745,spotify:track:1iaTDu4PCIWQQOwwwqq5qW,4
Kygo,I'll Wait,0.611,0.651,1,-6.973,1,0.0587,0.148,1.84e-05,0.105,0.357,122.983,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,4
joan,drive all night,0.542,0.758,9,-5.032,1,0.0313,0.000184,5.63e-06,0.144,0.43,156.128,spotify:track:75ZKw8JLaFsYr51J44fQ4N,4
Nightly,Twenty Something,0.641,0.589,5,-6.305,0,0.0275,0.096,9.67e-05,0.208,0.11,100.001,spotify:track:6Wz9rIfo9tOBcVCd1Mo7F7,4
Lauv,Tattoos Together,0.862,0.4,4,-7.486,1,0.0736,0.00575,7.49e-06,0.123,0.596,122.963,spotify:track:1Srt81FTalOhRw7t7l8Yh8,4
TWIN XL,Neon Summer,0.398,0.785,10,-4.853,1,0.0424,0.00129,0.0,0.109,0.688,75.023,spotify:track:4NjW9Srshx2xuTdEoUnf9C,4
TWIN XL,"Don't Wake Me, I'm Still Dreaming",0.388,0.777,5,-5.194,0,0.0341,0.0218,1e-06,0.101,0.218,163.805,spotify:track:6NdL165hAxSKNnozIA2HDY,4
TWIN XL,Good,0.617,0.964,1,-3.559,1,0.0355,0.113,0.000225,0.247,0.961,75.978,spotify:track:7sRdxkgNb3m3Ciai38ANmd,4
Delaney Jane,Throwback,0.613,0.731,8,-3.993,1,0.0625,0.177,0.0,0.107,0.322,107.071,spotify:track:0O64j1yLdHg17XDfleKiYH,4
ayokay,Cassette,0.718,0.56,1,-6.739,0,0.0564,0.141,0.0,0.148,0.292,75.031,spotify:track:3GweDldi2HrraUKLexWUeb,4
Bryce Vine,Drew Barrymore,0.758,0.574,11,-6.889,0,0.0572,0.46,0.00272,0.102,0.261,151.985,spotify:track:7nvIPwXKGhqtRhssxM99kJ,4
Post Malone,I'm Gonna Be,0.746,0.559,5,-4.008,1,0.0316,0.703,0.0,0.148,0.368,117.943,spotify:track:1ckLp8lCl8LipXI0ypX72m,4
lovelytheband,coachella,0.563,0.646,2,-6.849,1,0.0312,0.0664,0.000879,0.0877,0.288,115.013,spotify:track:1bPJ6Ay1La8IYPCuCvQA7k,4
Kid Travis,Strawberry Skies,0.65,0.462,11,-6.589,0,0.0891,0.366,0.0,0.159,0.65,89.887,spotify:track:2p1onANhkUkyMZKKigOUJu,4
Bryce Vine,San Junipero,0.689,0.702,2,-5.278,1,0.0356,0.203,0.00052,0.145,0.562,98.018,spotify:track:2Z8WXN2oV5dzxTWjscQQr2,4
Post Malone,Hollywood's Bleeding,0.405,0.646,4,-3.206,0,0.0476,0.331,0.0,0.103,0.17,130.218,spotify:track:7sWRlDoTDX8geTR8zzr2vt,4
lovelytheband,broken - Cash Cash Remix,0.497,0.747,11,-3.112,0,0.0894,0.0259,0.0,0.0697,0.355,140.81,spotify:track:5W0vgRE9B23TZDj5B7pRUO,4
lovelytheband,stupid mistakes,0.697,0.713,0,-6.567,1,0.0265,0.133,0.00862,0.23,0.529,128.974,spotify:track:3yGZzSxHvvQKwMsAtFfNF5,4
Talos,See Me,0.436,0.661,0,-6.034,1,0.0353,0.247,1.77e-05,0.105,0.149,168.043,spotify:track:4akuE3uBD4t5HTXaAEm88t,4
ILLENIUM,Good Things Fall Apart (with Jon Bellion),0.643,0.603,2,-5.416,1,0.0311,0.012,0.0,0.118,0.42,144.01,spotify:track:3LxG9HkMMFP0MZuiw3O2rF,4
Jason Ross,Letting Go (with RUNN),0.367,0.688,4,-6.11,1,0.0465,0.167,1.18e-06,0.0916,0.219,149.636,spotify:track:6XxrZcC4CnlJy1qyYrrxqZ,4
Valley,Swim - Reprise,0.493,0.782,2,-6.968,1,0.0353,0.0187,1.88e-05,0.321,0.314,104.941,spotify:track:4eVE7ruYH5dNGYKT2jd5So,4
Lennon Stella,Kissing Other People,0.691,0.662,2,-5.941,1,0.0738,0.548,2.43e-06,0.119,0.299,94.028,spotify:track:4WjTbrxOPvSwQlajlE4aXH,4
Boy In Space,7UP,0.616,0.469,0,-7.38,1,0.027,0.0167,0.0,0.111,0.233,135.035,spotify:track:4cB00WOFuQFLoDpnydcx8c,4
Quinn XCII,U & Us,0.605,0.73,4,-7.871,1,0.0425,0.087,0.00269,0.187,0.263,130.025,spotify:track:6SL7KzIA96f0HiKjuv7tED,4
LANY,pink skies,0.719,0.631,5,-6.616,1,0.0433,0.266,7.69e-06,0.134,0.466,103.968,spotify:track:6BZ6pl5bczDc3cMF1kBaOy,4
Galantis,Runaway (U & I),0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,spotify:track:46lFttIf5hnUZMGvjK0Wxo,4
Mike Perry,Lighthouse,0.543,0.875,1,-3.033,1,0.032,0.0795,1.07e-05,0.061,0.244,154.936,spotify:track:4AM3fxgUBkEUO6xScrmB9a,4
Seven Lions,First Time (feat. Dylan Matthew),0.422,0.677,11,-5.76,1,0.0365,0.251,3.55e-06,0.16,0.146,150.131,spotify:track:27YD36FUikKxbp3bKSiKGZ,4
Seven Lions,First Time (feat. Dylan Matthew) - Acoustic,0.558,0.337,10,-8.414,1,0.0311,0.92,2.34e-06,0.159,0.397,143.784,spotify:track:4s9Na0ywXodZXScgvXmJop,4
Lauv,For Now,0.533,0.226,7,-12.186,1,0.0416,0.783,7.32e-06,0.113,0.111,83.588,spotify:track:0PxJmAlyKcRdd1r9FvDbTn,4
Jai Wolf,Better Apart (feat. Dresage),0.489,0.703,4,-4.564,0,0.026,0.013,6.04e-05,0.104,0.256,149.977,spotify:track:1TFC1wutiIHQQ9buf8bxQI,4
Lauv,Lonely Eyes,0.586,0.499,2,-7.005,1,0.0267,0.0418,0.0,0.0994,0.369,95.014,spotify:track:5qhHm4dN4L2dhRb2TfzGPw,4
Martin Garrix,Used To Love (with Dean Lewis),0.651,0.693,4,-4.722,1,0.0375,0.458,0.0,0.335,0.392,118.97,spotify:track:7pWK1kMgHy5lNNiIfuRbkP,4
Lauv,Changes,0.532,0.455,2,-8.366,1,0.156,0.452,0.0,0.237,0.204,148.182,spotify:track:7cDpMO5wuWgvv3j4INRBeB,4
Bryce Vine,La La Land (feat. YG),0.774,0.473,1,-5.122,0,0.0569,0.221,0.0,0.222,0.416,97.953,spotify:track:4oM9DGUTrRaXJDypxxHztZ,4
Felix Palmqvist,Think Of Me (feat. Loé),0.499,0.61,1,-4.48,1,0.031,0.606,1.81e-05,0.0693,0.299,155.212,spotify:track:5uRjHOMFT16RS1f8ZNlkzm,4
X Ambassadors,HOLD YOU DOWN,0.577,0.627,1,-5.553,0,0.0533,0.0491,1.24e-06,0.0766,0.446,78.96,spotify:track:3Tiv2bF1OLCXXnuXaDKaG3,4
Bryce Vine,Nowhere Man,0.634,0.677,8,-6.698,1,0.0336,0.101,1.97e-05,0.0576,0.33,122.035,spotify:track:4Y778EFdrOrvILkY3k4FXO,4
Bryce Vine,Sunflower Seeds,0.723,0.593,10,-5.816,1,0.0308,0.194,5.35e-05,0.217,0.273,92.985,spotify:track:4MJfCOcc2PpWOrUqOpvy1S,4
Bryce Vine,Los Angeles,0.728,0.812,1,-6.099,0,0.0671,0.121,0.0,0.293,0.824,150.093,spotify:track:0GJnCFj7z7hvxo7AKX1PM8,4
Troye Sivan,YOUTH - Gryffin Remix,0.56,0.66,4,-6.264,0,0.0406,0.0796,0.00925,0.0989,0.367,103.974,spotify:track:0fQ9O8i6Hw2VFMW7i1Tgav,4
The Wanted,Glad You Came,0.61,0.841,7,-4.579,0,0.0692,0.056,9.85e-06,0.118,0.431,126.889,spotify:track:3AGOgQzp0YcPH41u9p7dOp,4
Eric Reprid,June Blues,0.941,0.551,1,-5.659,0,0.0534,0.331,2.97e-05,0.106,0.702,98.014,spotify:track:4WvApvScQ8ofzDIqgpScmb,4
Bren Joy,Pocket,0.516,0.682,3,-6.545,0,0.0535,0.096,0.0,0.107,0.393,153.996,spotify:track:6VbkpKQxghXolaaY4gS61D,4
Wallows,Are You Bored Yet? (feat. Clairo),0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,spotify:track:57RA3JGafJm5zRtKJiKPIm,4
Timeflies,Nobody Has to Know,0.725,0.57,4,-4.06,1,0.106,0.723,0.0,0.085,0.238,146.233,spotify:track:4iaPzRl9XegHsNdZfuHWFD,4
Timeflies,Gravity,0.68,0.666,10,-5.698,1,0.0441,0.0217,0.0,0.125,0.501,74.0,spotify:track:4eCe46kZbdcdHeWhjZww8I,4
Social House,Magic In The Hamptons (feat. Lil Yachty),0.769,0.479,1,-5.339,1,0.0385,0.66,0.0,0.0914,0.803,96.051,spotify:track:2Yer0p7uB2lVBUAtANuuQp,4
Social House,Love Me Back,0.559,0.437,3,-10.27,1,0.0311,0.585,0.0,0.101,0.43,157.991,spotify:track:0Vs8BRdNnyuk0QXWPWvICK,4
Russ,"Psycho, Pt. 2",0.766,0.548,10,-4.29,1,0.235,0.775,5.57e-06,0.1,0.424,82.944,spotify:track:26OhjtaTamFocE08t83ml6,4
Rex Orange County,Sunflower,0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903,spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ,4
Quinn XCII,Flare Guns,0.812,0.472,1,-6.806,0,0.0603,0.26,0.0,0.285,0.457,92.951,spotify:track:7cM9Kqto11iJpY2RwgVJSq,4
PRETTYMUCH,Phases,0.77,0.636,11,-6.724,0,0.131,0.169,0.0,0.0676,0.492,105.93,spotify:track:3je88Q4OvTqIx7BFRFYvRA,4
Prelow,Backseat,0.706,0.559,1,-6.565,1,0.0339,0.0126,2.49e-06,0.051,0.468,102.003,spotify:track:2UoBCvP9e34TJ4RSPUXomc,4
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,spotify:track:3KkXRkHbMCARz0aVfEt68P,4
Post Malone,Wow.,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,spotify:track:7xQAfvXzm3AkraOtGPWIZg,4
Post Malone,rockstar (feat. 21 Savage),0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,spotify:track:0e7ipj03S05BNilyu5bRzt,4
Post Malone,Rich & Sad,0.599,0.571,2,-4.998,1,0.0665,0.198,0.0,0.0969,0.285,151.974,spotify:track:2VdT56BGpdqNHUgOe1j5vc,4
Post Malone,Otherside,0.652,0.643,9,-5.667,0,0.0353,0.318,2.87e-06,0.208,0.109,104.932,spotify:track:4qWCFTuNnmGNdY4egtb4ZY,4
Post Malone,Circles,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,spotify:track:21jGcNKet2qwijlDFuPiPb,4
Mokita,Til I Don't,0.766,0.394,0,-7.451,1,0.0637,0.0582,0.00523,0.279,0.816,160.079,spotify:track:6TSlbHp7Vx4wZ0Rqciwn5v,4
Lostboycrow,Devil's in the Backseat,0.642,0.558,5,-8.401,0,0.0693,0.164,0.0,0.142,0.51,156.053,spotify:track:52hSR5CsLyziuwpZQqd9wI,4
Loote,85%,0.574,0.651,7,-7.585,1,0.046,0.346,0.0,0.149,0.368,140.017,spotify:track:5teOR8KU4XNWY2WlVUDiIR,4
Lauv,Sad Forever,0.527,0.538,5,-7.434,1,0.104,0.468,0.0,0.0825,0.389,117.319,spotify:track:4a5zacCsHLtMC2mcxkqWwn,4
Lauv,Sims,0.529,0.398,2,-8.238,1,0.388,0.643,0.0,0.0637,0.567,99.714,spotify:track:7IE989Ftunp6k2LdMsFC5r,4
Kygo,Raging (feat. Kodaline),0.55,0.689,3,-7.76,0,0.094,0.0498,0.0,0.207,0.408,99.904,spotify:track:6DsFZITJMPnh8z5XewfVmL,4
Khalid,Young Dumb & Broke,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,4
Khalid,OTW,0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,4
Clueless Kit,I'm Not Sober,0.667,0.541,2,-7.247,1,0.0425,0.497,2.76e-06,0.0979,0.327,108.952,spotify:track:4eNHyE1TnZ71EKADVixS9q,4
Russ,Nobody Knows,0.715,0.71,4,-9.504,1,0.432,0.445,0.000284,0.103,0.526,162.043,spotify:track:1pNAf6W7POwjOD8x8mWf8G,4
Clueless Kit,Not You (feat. Kora),0.47,0.349,0,-11.327,1,0.375,0.395,4.4e-05,0.127,0.264,72.326,spotify:track:69R5AoRQjNVSDemDFhKZOj,4
FINNEAS,Let's Fall in Love for the Night,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.921,spotify:track:7kQkmyoHCEqwe7QwDbkSXM,4
Brent Faiyaz,Gang Over Luv,0.781,0.277,8,-9.35,1,0.326,0.0408,0.000339,0.0754,0.302,163.987,spotify:track:7LaI3mRTJu66r9HKdv7iBx,4
keshi,skeletons,0.719,0.265,2,-12.782,1,0.0754,0.296,0.0865,0.108,0.273,80.021,spotify:track:2BuJrxYKhYky20dQqTlobO,4
keshi,summer,0.717,0.453,8,-9.394,1,0.0532,0.144,0.0,0.12,0.483,85.005,spotify:track:0LqCvXVNvcnkq78sCQsoO0,4
Jon Bellion,Blu,0.384,0.465,0,-8.554,1,0.0341,0.29,2.22e-05,0.359,0.636,131.604,spotify:track:4FUDWkguOUVpLRAVn5C20z,4
Jon Bellion,Guillotine,0.574,0.803,4,-3.17,0,0.186,0.102,4.15e-06,0.0861,0.647,97.967,spotify:track:2FK1qmw8XNBqUe5CcgTVnE,4
Joji,TEST DRIVE,0.646,0.648,3,-8.602,1,0.0372,0.71,0.00316,0.108,0.466,75.004,spotify:track:1DMEzmAoQIikcL52psptQL,4
Joji,Run,0.447,0.72,7,-3.954,1,0.0332,0.0416,0.000297,0.614,0.362,157.892,spotify:track:6p8eEdiZLKJH8tcjGZuNTK,3
Joji,Sanctuary,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,spotify:track:3xaugmCyXrVkrDTXbFkMW3,4
88rising,Head In The Clouds,0.516,0.456,9,-9.242,1,0.0397,0.281,1.27e-05,0.0847,0.238,145.843,spotify:track:3kYARoLSAvt86VFZ55BQcq,4
Jeremy Zucker,talk is overrated,0.776,0.353,4,-8.317,0,0.0687,0.435,0.0,0.302,0.658,138.035,spotify:track:7cflqPPi3zWfLFRRBTWeh6,4
Jeremy Zucker,Flying Kites,0.726,0.46,5,-5.33,1,0.0758,0.932,1.73e-05,0.0731,0.665,143.737,spotify:track:0yjdEwkPYbhCXN6uCedpVu,4
Jeremy Zucker,comethru,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982,spotify:track:18uwL0vNUanqZH0ro2QcOP,4
HONNE,Warm on a Cold Night,0.342,0.609,8,-5.68,1,0.0943,0.185,0.00052,0.0799,0.401,82.989,spotify:track:5pJPgy2jGvvNUNfHPvG3Zp,4
benny blanco,Eastside (with Halsey & Khalid),0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,spotify:track:0d2iYfpKoM0QCKvcLCkBao,4
gianni & kyle,wave,0.744,0.43,7,-9.835,1,0.162,0.262,0.0,0.104,0.286,89.993,spotify:track:3YTqCVdqwsql9yQKshguT6,4
gianni & kyle,jealous,0.832,0.643,7,-6.035,0,0.127,0.274,0.0,0.0983,0.393,135.007,spotify:track:7lKNg20fAXWXgrr9ZmVdEE,4
gianni & kyle,how u get,0.867,0.658,11,-5.242,1,0.219,0.38,0.0,0.142,0.608,101.969,spotify:track:7kMFvJUNKfQaOFxN4kXa68,4
gianni & kyle,do u even miss me at all?,0.819,0.519,10,-7.16,0,0.0768,0.384,0.0,0.0898,0.452,100.039,spotify:track:1AHf5FSofKcUw8tyKkccKF,4
gianni & kyle,5 shots,0.918,0.449,1,-5.702,1,0.0605,0.124,0.0,0.0595,0.481,91.978,spotify:track:0znCw9dSfsrBGUtxAzd9kD,4
EXES,Peckham,0.592,0.495,9,-7.89,1,0.0446,0.581,0.00043,0.134,0.226,114.925,spotify:track:7AhqAjYc1F7x3yURlb0dkj,4
COIN,"Don't Cry, 2020",0.527,0.867,9,-5.854,1,0.145,0.0132,0.000358,0.612,0.184,128.04,spotify:track:69yWHw7ZdTfYnpk67pdj3a,4
Hoodie Allen,Come Around,0.726,0.727,9,-4.919,1,0.0969,0.363,0.0,0.231,0.815,77.543,spotify:track:2zkhW5YaOPPaPgNWXmjTjF,4
The Chainsmokers,Paris,0.646,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999,spotify:track:15vzANxN8G9wWfwAJLLMCg,4
The Chainsmokers,All We Know (feat. Phoebe Ryan),0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0,spotify:track:2rizacJSyD9S1IQUxUxnsK,4
BROCKHAMPTON,SUMMER,0.497,0.55,8,-6.13,1,0.0257,0.847,0.049,0.119,0.542,79.955,spotify:track:66dQdXAbtuPdSasezCQVZE,4
BROCKHAMPTON,NO HALO,0.643,0.573,4,-7.034,1,0.0709,0.41,0.00017,0.0695,0.47,165.192,spotify:track:694vvR5o19xHPhhJ5QdLN7,4
BROCKHAMPTON,SUGAR,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,4
BROCKHAMPTON,GINGER,0.748,0.715,2,-5.137,1,0.0451,0.249,0.0369,0.164,0.226,130.087,spotify:track:1Uo7reO6I2yQ1q36ZPuNf7,4
Bren Joy,Twenties,0.676,0.586,0,-6.412,1,0.0716,0.177,0.0,0.0461,0.602,88.01,spotify:track:5GI6QmVQewXzKDtIf4pPY8,4
Bren Joy,Sweet,0.638,0.732,0,-6.852,1,0.0914,0.173,0.0,0.0681,0.553,78.017,spotify:track:0dMahcyqbfmUiWUL9xiLmg,4
Bren Joy,Henny in the Hamptons,0.633,0.635,1,-6.786,0,0.118,0.623,0.0,0.207,0.464,87.927,spotify:track:4kWfgyx4baqZctv8N3zxwt,4
BØRNS,Electric Love,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,4
blackbear,Idfc,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04e-05,0.114,0.315,144.871,spotify:track:6y6jbcPG4Yn3Du4moXaenr,4
blackbear,hot girl bummer,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,1
ayokay,Stay With Me (feat. Jeremy Zucker),0.695,0.695,2,-6.612,1,0.0706,0.489,0.00019,0.131,0.468,100.021,spotify:track:65Bynqyt59f3fojjs1Uo41,4
ayokay,Sleepless Nights (feat. Nightly),0.663,0.696,11,-5.994,1,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,spotify:track:4PUWpNtDejQwwa80LjvxXl,4
Axwell /\ Ingrosso,More Than You Know,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077,spotify:track:6h5PAsRni4IRlxWr6uDPTP,4
Anthony Russo,California,0.736,0.493,10,-7.224,1,0.0592,0.265,0.0,0.247,0.364,141.997,spotify:track:6ae29ZzSPYq61ARnOn3CGh,4
COIN,Atlas,0.38,0.769,6,-5.572,0,0.0748,0.00741,3.86e-06,0.163,0.562,174.223,spotify:track:7HbTWMc28PYvjltuhArnKG,4
COIN,Crash My Car,0.244,0.645,5,-5.863,1,0.0456,0.00178,0.00574,0.301,0.529,183.577,spotify:track:0X5mtNbqxbiTYkwj0CQc2f,5
COIN,Talk Too Much,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966,spotify:track:4djIFfof5TpbSGRZUpsTXq,4
Death Cab for Cutie,Summer Years,0.556,0.902,11,-6.087,0,0.0333,0.215,0.357,0.109,0.849,152.25,spotify:track:7znbs5T41Li5UBiVGhEACQ,4
Death Cab for Cutie,Northern Lights,0.514,0.95,4,-3.807,0,0.0298,0.00575,0.00238,0.134,0.665,137.975,spotify:track:28QF5ELXqDnaBjPjGTlzAK,4
flor,back again,0.636,0.597,8,-6.884,0,0.0279,0.118,0.00283,0.124,0.639,84.979,spotify:track:1J5rHMEvQFpM07iLULi48A,4
flor,hold on,0.609,0.872,8,-4.72,1,0.0447,0.0483,0.000971,0.119,0.534,111.967,spotify:track:6RtRxaZN5RMWFbeZW24oRx,4
flor,dancing around,0.726,0.657,10,-7.066,0,0.0327,0.00765,0.000248,0.0975,0.629,114.996,spotify:track:5UAOuU3YK9xo76vtrhyDng,4
flora cash,Missing Home,0.608,0.728,11,-6.612,1,0.0393,0.339,4.62e-05,0.0741,0.246,89.994,spotify:track:29j2Y1N3vpyvm385G4TFSS,4
