artist,title,played_at,session,uri,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,label
Kid Travis,Strawberry Skies,(05/26) 12:36 PM,7193ad525a76f77a2b1444efd77b4bbea950d254,spotify:track:2p1onANhkUkyMZKKigOUJu,0.65,0.462,-6.5889999999999995,0.0891,0.366,0.159,0.65,89.887,2
Boy In Space,7UP,(05/26) 08:32 AM,b8742d0bf900ad4eb0e5a08a849ee7396363e4b2,spotify:track:4cB00WOFuQFLoDpnydcx8c,0.616,0.469,-7.38,0.027000000000000003,0.0167,0.111,0.233,135.035,4
Khalid,OTW,(05/25) 20:12 PM,d2a04f014f6d12fcb72e387150666fbddfc3dae5,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,0.652,0.6779999999999999,-6.183,0.0541,0.183,0.106,0.28,72.98899999999998,4
Post Malone,Rich & Sad,(05/25) 19:59 PM,d2a04f014f6d12fcb72e387150666fbddfc3dae5,spotify:track:2VdT56BGpdqNHUgOe1j5vc,0.599,0.5710000000000001,-4.998,0.0665,0.198,0.0969,0.285,151.974,4
The Chainsmokers,Something Just Like This,(05/25) 19:54 PM,d2a04f014f6d12fcb72e387150666fbddfc3dae5,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.617,0.635,-6.769,0.0317,0.0498,0.16399999999999998,0.446,103.019,4
ILLENIUM,Good Things Fall Apart (with Jon Bellion),(05/25) 19:49 PM,d2a04f014f6d12fcb72e387150666fbddfc3dae5,spotify:track:6pooRNiLyYpxZeIA5kJ5EX,0.643,0.594,-5.4529999999999985,0.0318,0.0128,0.118,0.442,144.033,4
PRETTYMUCH,Phases,(05/25) 19:46 PM,d2a04f014f6d12fcb72e387150666fbddfc3dae5,spotify:track:3je88Q4OvTqIx7BFRFYvRA,0.77,0.636,-6.724,0.131,0.16899999999999998,0.0676,0.4920000000000001,105.93,2
Gryffin,Tie Me Down (with Elley Duh�,(05/24) 12:55 PM,1cec95f1bbeb89273377a16a79df8cc6e3cbc0f9,spotify:track:2zh01m4PiHaZz4BAm0NRxs,0.608,0.845,-2.292,0.0597,0.136,0.111,0.322,98.976,0
Joji,TEST DRIVE,(05/24) 11:45 AM,4e60d86009cbb601f461b3996008e3daed6648c2,spotify:track:1DMEzmAoQIikcL52psptQL,0.6459999999999999,0.648,-8.602,0.0372,0.71,0.108,0.466,75.00399999999998,2
Joji,Run,(05/24) 11:42 AM,4e60d86009cbb601f461b3996008e3daed6648c2,spotify:track:6p8eEdiZLKJH8tcjGZuNTK,0.447,0.72,-3.954,0.0332,0.0416,0.614,0.362,157.892,3
The Chainsmokers,All We Know (feat. Phoebe Ryan),(05/24) 11:39 AM,4e60d86009cbb601f461b3996008e3daed6648c2,spotify:track:2rizacJSyD9S1IQUxUxnsK,0.662,0.586,-8.821,0.0307,0.097,0.115,0.29600000000000004,90.0,4
Social House,Love Me Back,(05/24) 11:36 AM,4e60d86009cbb601f461b3996008e3daed6648c2,spotify:track:0Vs8BRdNnyuk0QXWPWvICK,0.5589999999999999,0.4370000000000001,-10.27,0.0311,0.585,0.101,0.43,157.991,6
Post Malone,Myself,(05/23) 18:08 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:2cvOfKHOHgwQlLiuLKP2xR,0.476,0.701,-4.234,0.0349,0.102,0.242,0.405,163.882,3
Bryce Vine,La La Land (feat. YG),(05/23) 18:06 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:4oM9DGUTrRaXJDypxxHztZ,0.774,0.473,-5.122000000000001,0.0569,0.221,0.222,0.416,97.953,2
Martin Garrix,Used To Love (with Dean Lewis),(05/23) 18:03 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:7pWK1kMgHy5lNNiIfuRbkP,0.6509999999999999,0.693,-4.722,0.0375,0.458,0.335,0.392,118.97,4
Lauv,For Now,(05/23) 17:59 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:0PxJmAlyKcRdd1r9FvDbTn,0.5329999999999999,0.226,-12.186,0.0416,0.7829999999999999,0.113,0.111,83.588,1
Lauv,Changes,(05/23) 17:56 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:7cDpMO5wuWgvv3j4INRBeB,0.532,0.455,-8.366,0.156,0.452,0.237,0.204,148.18200000000004,6
Seven Lions,First Time (feat. Dylan Matthew) - Acoustic,(05/23) 17:53 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:4s9Na0ywXodZXScgvXmJop,0.5579999999999999,0.337,-8.414,0.0311,0.92,0.159,0.397,143.784,1
Jai Wolf,Better Apart (feat. Dresage),(05/23) 17:49 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:1TFC1wutiIHQQ9buf8bxQI,0.489,0.703,-4.564,0.026,0.013,0.104,0.256,149.977,3
X Ambassadors,HOLD YOU DOWN,(05/23) 17:43 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:3Tiv2bF1OLCXXnuXaDKaG3,0.5770000000000001,0.627,-5.553,0.0533,0.0491,0.0766,0.446,78.96,4
Kid Travis,Strawberry Skies,(05/23) 17:40 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:2p1onANhkUkyMZKKigOUJu,0.65,0.462,-6.589,0.0891,0.366,0.159,0.65,89.887,2
lovelytheband,coachella,(05/23) 17:37 PM,7d507e5e13bbef8c0a9a03b3bceda2634fab2ccc,spotify:track:1bPJ6Ay1La8IYPCuCvQA7k,0.563,0.6459999999999999,-6.849,0.0312,0.0664,0.0877,0.28800000000000003,115.013,4
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,(05/22) 20:41 PM,fe00bba3250b6df08c2c0f855d5c26c0da3b0a2b,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.76,0.479,-5.574,0.0466,0.556,0.0703,0.913,89.911,2
Troye Sivan,YOUTH - Gryffin Remix,(05/22) 18:00 PM,4fe4983f67468867df65c465e0b1783e8e822984,spotify:track:5nGuzcsjDbUD1Hgi0szupA,0.5589999999999999,0.67,-6.301,0.0404,0.0823,0.106,0.338,104.004,4
Post Malone,Hollywood's Bleeding,(05/22) 17:56 PM,d481d900a0c7835b9c8d6b327436eaf577c51265,spotify:track:7sWRlDoTDX8geTR8zzr2vt,0.405,0.6459999999999999,-3.2060000000000004,0.0476,0.331,0.103,0.17,130.218,3
Bryce Vine,San Junipero,(05/22) 17:53 PM,d481d900a0c7835b9c8d6b327436eaf577c51265,spotify:track:2Z8WXN2oV5dzxTWjscQQr2,0.6890000000000001,0.7020000000000001,-5.278,0.0356,0.203,0.145,0.562,98.018,0
Loud Luxury,I'm Not Alright - Frank Walker Remix,(05/22) 17:50 PM,d481d900a0c7835b9c8d6b327436eaf577c51265,spotify:track:7ojmU04SuSKtIjzODRFIiB,0.741,0.8690000000000001,-3.557,0.0366,0.0176,0.13699999999999998,0.6859999999999999,124.99,0
Bryce Vine,Los Angeles,(05/22) 17:47 PM,d481d900a0c7835b9c8d6b327436eaf577c51265,spotify:track:0GJnCFj7z7hvxo7AKX1PM8,0.728,0.812,-6.099,0.0671,0.121,0.293,0.8240000000000001,150.093,0
Bryce Vine,Nowhere Man,(05/22) 17:44 PM,d481d900a0c7835b9c8d6b327436eaf577c51265,spotify:track:4Y778EFdrOrvILkY3k4FXO,0.634,0.677,-6.698,0.0336,0.101,0.0576,0.33,122.035,4
X Ambassadors,HOLD YOU DOWN,(05/22) 17:40 PM,d481d900a0c7835b9c8d6b327436eaf577c51265,spotify:track:3Tiv2bF1OLCXXnuXaDKaG3,0.5770000000000001,0.627,-5.553,0.0533,0.0491,0.0766,0.446,78.96,4
Kid Travis,Strawberry Skies,(05/22) 17:37 PM,d481d900a0c7835b9c8d6b327436eaf577c51265,spotify:track:2p1onANhkUkyMZKKigOUJu,0.65,0.462,-6.589,0.0891,0.366,0.159,0.65,89.887,2
lovelytheband,coachella,(05/22) 17:34 PM,d481d900a0c7835b9c8d6b327436eaf577c51265,spotify:track:1bPJ6Ay1La8IYPCuCvQA7k,0.563,0.6459999999999999,-6.849,0.0312,0.0664,0.0877,0.28800000000000003,115.013,4
lovelytheband,coachella,(05/22) 17:30 PM,d481d900a0c7835b9c8d6b327436eaf577c51265,spotify:track:1bPJ6Ay1La8IYPCuCvQA7k,0.563,0.6459999999999999,-6.849,0.0312,0.0664,0.0877,0.28800000000000003,115.013,4
Post Malone,Otherside,(05/22) 10:29 AM,0391bbab5813ba8b88951c8f565f8ed02841d24d,spotify:track:4qWCFTuNnmGNdY4egtb4ZY,0.652,0.643,-5.667000000000002,0.0353,0.318,0.208,0.109,104.932,6
Post Malone,Rich & Sad,(05/22) 10:25 AM,0391bbab5813ba8b88951c8f565f8ed02841d24d,spotify:track:2VdT56BGpdqNHUgOe1j5vc,0.599,0.5710000000000001,-4.998,0.0665,0.198,0.0969,0.285,151.974,4
Lost Frequencies,Are You With Me - Radio Edit,(05/21) 16:52 PM,2d5ea73eecca5c25c5c415b5403058185903ad20,spotify:track:62nhuooamoroYpJyqE0nLd,0.763,0.61,-8.094,0.0355,0.275,0.12,0.392,121.031,4
lovelytheband,stupid mistakes,(05/21) 16:50 PM,2d5ea73eecca5c25c5c415b5403058185903ad20,spotify:track:3yGZzSxHvvQKwMsAtFfNF5,0.6970000000000001,0.713,-6.567,0.0265,0.133,0.23,0.529,128.974,4
joan,drive all night,(05/21) 16:46 PM,2d5ea73eecca5c25c5c415b5403058185903ad20,spotify:track:75ZKw8JLaFsYr51J44fQ4N,0.542,0.758,-5.032,0.0313,0.000184,0.14400000000000002,0.43,156.128,3
Kygo,I'll Wait,(05/21) 16:43 PM,2d5ea73eecca5c25c5c415b5403058185903ad20,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,0.611,0.6509999999999999,-6.973,0.0587,0.14800000000000002,0.105,0.35700000000000004,122.983,4
Said the Sky,All I Got,(05/21) 16:39 PM,2d5ea73eecca5c25c5c415b5403058185903ad20,spotify:track:1iaTDu4PCIWQQOwwwqq5qW,0.325,0.578,-6.7860000000000005,0.0455,0.158,0.575,0.103,144.745,3
Felix Palmqvist,Think Of Me (feat. Lo�,(05/21) 15:00 PM,805b3e417881d38bd9efdfecfcb8edc47da177ee,spotify:track:5uRjHOMFT16RS1f8ZNlkzm,0.499,0.61,-4.48,0.031,0.606,0.0693,0.299,155.21200000000005,6
ayokay,Cassette,(05/21) 14:57 PM,805b3e417881d38bd9efdfecfcb8edc47da177ee,spotify:track:3GweDldi2HrraUKLexWUeb,0.718,0.56,-6.739,0.0564,0.141,0.14800000000000002,0.292,75.031,2
X Ambassadors,HOLD YOU DOWN,(05/21) 14:54 PM,805b3e417881d38bd9efdfecfcb8edc47da177ee,spotify:track:3Tiv2bF1OLCXXnuXaDKaG3,0.5770000000000001,0.627,-5.553,0.0533,0.0491,0.0766,0.446,78.96,4
Post Malone,I'm Gonna Be,(05/21) 14:50 PM,805b3e417881d38bd9efdfecfcb8edc47da177ee,spotify:track:1ckLp8lCl8LipXI0ypX72m,0.746,0.5589999999999999,-4.008,0.0316,0.703,0.14800000000000002,0.368,117.943,2
Delaney Jane,Throwback,(05/20) 19:12 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:0O64j1yLdHg17XDfleKiYH,0.613,0.731,-3.993,0.0625,0.177,0.107,0.322,107.071,4
TWIN XL,Good,(05/20) 19:11 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:7sRdxkgNb3m3Ciai38ANmd,0.617,0.964,-3.559,0.0355,0.113,0.247,0.961,75.97800000000002,0
TWIN XL,"Don't Wake Me, I'm Still Dreaming",(05/20) 19:08 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:6NdL165hAxSKNnozIA2HDY,0.388,0.777,-5.194,0.0341,0.0218,0.101,0.218,163.805,3
TWIN XL,Neon Summer,(05/20) 19:05 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:4NjW9Srshx2xuTdEoUnf9C,0.398,0.785,-4.853,0.0424,0.00129,0.109,0.688,75.023,0
Mike Perry,Lighthouse,(05/20) 19:01 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:4AM3fxgUBkEUO6xScrmB9a,0.5429999999999999,0.875,-3.033,0.032,0.0795,0.061,0.244,154.936,3
Lauv,Tattoos Together,(05/20) 18:58 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:1Srt81FTalOhRw7t7l8Yh8,0.862,0.4,-7.4860000000000015,0.0736,0.00575,0.123,0.596,122.963,2
Galantis,Runaway (U & I),(05/20) 18:55 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:46lFttIf5hnUZMGvjK0Wxo,0.506,0.805,-4.119,0.0469,0.007109999999999998,0.0856,0.383,126.008,3
Nightly,Twenty Something,(05/20) 18:52 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:6Wz9rIfo9tOBcVCd1Mo7F7,0.6409999999999999,0.589,-6.305,0.0275,0.096,0.208,0.11,100.001,4
LANY,pink skies,(05/20) 18:47 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:6BZ6pl5bczDc3cMF1kBaOy,0.7190000000000001,0.631,-6.6160000000000005,0.0433,0.266,0.134,0.466,103.968,2
joan,drive all night,(05/20) 18:44 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:75ZKw8JLaFsYr51J44fQ4N,0.542,0.758,-5.032,0.0313,0.000184,0.14400000000000002,0.43,156.128,3
Kygo,I'll Wait,(05/20) 18:41 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,0.611,0.6509999999999999,-6.973,0.0587,0.14800000000000002,0.105,0.35700000000000004,122.983,4
Said the Sky,All I Got,(05/20) 18:38 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:1iaTDu4PCIWQQOwwwqq5qW,0.325,0.578,-6.7860000000000005,0.0455,0.158,0.575,0.103,144.745,3
Said the Sky,All I Got,(05/20) 18:32 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:1iaTDu4PCIWQQOwwwqq5qW,0.325,0.578,-6.7860000000000005,0.0455,0.158,0.575,0.103,144.745,3
Said the Sky,Erase Me,(05/19) 18:09 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:0AISJtBDtZXgB2fuvcjQEN,0.528,0.61,-6.564,0.0287,0.376,0.211,0.304,130.11,6
lovelytheband,broken - Cash Cash Remix,(05/19) 18:06 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:5W0vgRE9B23TZDj5B7pRUO,0.4970000000000001,0.747,-3.112,0.0894,0.0259,0.0697,0.355,140.81,3
Lost Frequencies,Are You With Me - Radio Edit,(05/19) 18:03 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:62nhuooamoroYpJyqE0nLd,0.763,0.61,-8.094,0.0355,0.275,0.12,0.392,121.031,4
lovelytheband,stupid mistakes,(05/19) 18:01 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:3yGZzSxHvvQKwMsAtFfNF5,0.6970000000000001,0.713,-6.567,0.0265,0.133,0.23,0.529,128.974,4
John K,if we never met,(05/19) 17:57 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:5HBDBBr5OV90lubqW8ctJF,0.958,0.376,-7.063,0.0523,0.171,0.127,0.331,107.964,2
Greyson Chance,shut up,(05/19) 17:55 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:65mPCrY32YMQlBnmWVrKNa,0.821,0.448,-4.33,0.0468,0.29600000000000004,0.0683,0.45,105.006,2
keshi,2 soon,(05/19) 17:52 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:5SlU0Yhi51jobhEiGE4xDv,0.517,0.6629999999999999,-6.688,0.0375,0.146,0.322,0.146,174.032,3
ayokay,Queen (feat. Quinn XCII),(05/19) 17:48 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:2lxW8vQ9Qjv0qeSQiIBOKJ,0.7809999999999999,0.619,-6.6160000000000005,0.0882,0.22,0.112,0.391,82.954,2
Quinn XCII,Tough (feat. Noah Kahan),(05/19) 17:45 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:3a1Zmq0P1E6W80x8EOcVNP,0.7290000000000001,0.57,-7.0470000000000015,0.0554,0.388,0.111,0.687,93.125,2
Chelsea Cutler,Your Shirt,(05/19) 17:42 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:6zdg9ovHEPx9EblJcc7FGf,0.433,0.478,-6.641,0.0725,0.191,0.32,0.173,179.98,3
ILLENIUM,Crashing (feat. Bahari),(05/19) 17:38 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:17Efhyf4A96n0EFXKeB7Ya,0.5820000000000001,0.6809999999999999,-6.138,0.0458,0.342,0.18600000000000005,0.273,95.995,4
Marc E. Bassy,Just My Luck,(05/19) 17:34 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:2QsBAfiNmngcrZsOTznqBG,0.617,0.64,-5.601,0.042,0.28300000000000003,0.16399999999999998,0.34600000000000003,156.98,4
Boy In Space,7UP,(05/19) 17:31 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:4cB00WOFuQFLoDpnydcx8c,0.616,0.469,-7.38,0.027000000000000003,0.0167,0.111,0.233,135.035,4
Post Malone,Myself,(05/19) 17:28 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:2cvOfKHOHgwQlLiuLKP2xR,0.476,0.701,-4.234,0.0349,0.102,0.242,0.405,163.882,3
Said the Sky,Erase Me,(05/19) 17:25 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:0AISJtBDtZXgB2fuvcjQEN,0.528,0.61,-6.564,0.0287,0.376,0.211,0.304,130.11,6
Said the Sky,Erase Me,(05/19) 17:22 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:0AISJtBDtZXgB2fuvcjQEN,0.528,0.61,-6.564,0.0287,0.376,0.211,0.304,130.11,6
Seven Lions,First Time (feat. Dylan Matthew),(05/18) 10:05 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:27YD36FUikKxbp3bKSiKGZ,0.422,0.677,-5.76,0.0365,0.251,0.16,0.146,150.131,3
Delaney Jane,Throwback,(05/18) 10:01 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:0O64j1yLdHg17XDfleKiYH,0.613,0.731,-3.993,0.0625,0.177,0.107,0.322,107.071,4
TWIN XL,Good,(05/18) 09:57 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:7sRdxkgNb3m3Ciai38ANmd,0.617,0.964,-3.559,0.0355,0.113,0.247,0.961,75.97800000000002,0
TWIN XL,"Don't Wake Me, I'm Still Dreaming",(05/18) 09:54 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:6NdL165hAxSKNnozIA2HDY,0.388,0.777,-5.194,0.0341,0.0218,0.101,0.218,163.805,3
TWIN XL,Neon Summer,(05/18) 09:51 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:4NjW9Srshx2xuTdEoUnf9C,0.398,0.785,-4.853,0.0424,0.00129,0.109,0.688,75.023,0
Mike Perry,Lighthouse,(05/18) 09:48 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:4AM3fxgUBkEUO6xScrmB9a,0.5429999999999999,0.875,-3.033,0.032,0.0795,0.061,0.244,154.936,3
Lauv,Tattoos Together,(05/18) 09:45 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:1Srt81FTalOhRw7t7l8Yh8,0.862,0.4,-7.4860000000000015,0.0736,0.00575,0.123,0.596,122.963,2
Galantis,Runaway (U & I),(05/18) 09:42 AM,328f45257a7ff3a144383285d6b023a8e3ce07c7,spotify:track:46lFttIf5hnUZMGvjK0Wxo,0.506,0.805,-4.119,0.0469,0.007109999999999998,0.0856,0.383,126.008,3
ayokay,Sleepless Nights (feat. Nightly),(05/17) 18:17 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:4PUWpNtDejQwwa80LjvxXl,0.6629999999999999,0.696,-5.994,0.0349,0.0563,0.226,0.449,139.98,4
Bazzi,Paradise,(05/17) 18:15 PM,8c644c3c80e0885b3470d49280fc59dd25153bae,spotify:track:0Rx0DJI556Ix5gBny6EWmn,0.8440000000000001,0.644,-6.273,0.0479,0.0828,0.113,0.591,122.061,4
